Id,Date,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutes,TotalHours,DayOfWeek,ActiveMinutesRatio,StepsPerActiveMinute,IsWeekend,CaloriesPerStep,ActivityIntensity,ReachedGoal,Cluster
1503960366,2016-04-12,13162,25,13,328,728,1985,1094,18.0,Tuesday,0.03473491773308958,35.961747651318376,0,0.15081294624615335,429,1,1
1503960366,2016-04-13,10735,21,19,217,776,1797,1033,17.0,Wednesday,0.03872216844143272,41.770426390255786,0,0.16739636686781895,318,1,2
1503960366,2016-04-14,10460,30,11,181,1218,1776,1440,24.0,Thursday,0.02847222222222222,47.11711499472455,0,0.16978967478987603,293,1,2
1503960366,2016-04-15,9762,29,34,209,726,1745,998,17.0,Friday,0.06312625250501001,35.889704562878514,0,0.17875435343294985,364,0,2
1503960366,2016-04-16,12669,36,10,221,773,1863,1040,17.0,Saturday,0.04423076923076923,47.44943642511475,1,0.14705185875203106,349,1,1
1503960366,2016-04-17,9705,38,20,164,539,1728,761,13.0,Sunday,0.07621550591327202,43.716214247017376,1,0.1780525500483745,318,0,2
1503960366,2016-04-18,13019,42,16,233,1149,1921,1440,24.0,Monday,0.04027777777777778,44.73883007770344,0,0.14755357543009942,391,1,1
1503960366,2016-04-19,15506,50,31,264,775,2035,1120,19.0,Tuesday,0.07232142857142858,44.9449262334804,0,0.13123952010109666,476,1,1
1503960366,2016-04-20,10544,28,12,205,818,1786,1063,18.0,Wednesday,0.03762935089369708,43.036732937276206,0,0.16938543231279835,313,1,2
1503960366,2016-04-21,9819,19,8,211,838,1775,1076,18.0,Thursday,0.02509293680297398,41.25630078755039,0,0.18077197252187396,284,0,2
1503960366,2016-04-22,12764,66,27,130,1217,1827,1440,24.0,Friday,0.06458333333333334,57.23766559472352,0,0.14313694755316755,382,1,1
1503960366,2016-04-23,14371,41,21,262,732,1949,1056,18.0,Saturday,0.058712121212121215,44.35493690262541,1,0.13562034643683785,427,1,1
1503960366,2016-04-24,10039,39,5,238,709,1788,991,17.0,Sunday,0.044399596367305755,35.59928951775569,1,0.17810538880555296,365,1,2
1503960366,2016-04-25,15355,73,14,216,814,2013,1117,19.0,Monday,0.07788719785138765,50.676565984271754,0,0.131097362337286,463,1,1
1503960366,2016-04-26,13755,31,23,279,833,1970,1166,19.0,Tuesday,0.04631217838765009,41.30630506587673,0,0.14322064693331832,418,1,1
1503960366,2016-04-27,18134,78,11,243,1108,2159,1440,24.0,Wednesday,0.06180555555555556,54.62048028251566,0,0.1190581227974754,499,1,1
1503960366,2016-04-28,13154,48,28,189,782,1898,1047,17.0,Thursday,0.0725883476599809,49.63773397593457,0,0.14429070994048143,389,1,1
1503960366,2016-04-29,11181,16,12,243,815,1837,1086,18.0,Friday,0.02578268876611418,41.2583010605793,0,0.16429657439916234,315,1,2
1503960366,2016-04-30,14673,52,34,217,712,1947,1015,17.0,Saturday,0.08472906403940887,48.425740976048154,1,0.13269270078873258,441,1,1
1503960366,2016-05-01,10602,33,35,246,730,1820,1044,17.0,Sunday,0.06513409961685823,33.764330134893946,1,0.17166572328648771,415,1,2
1503960366,2016-05-02,14727,41,15,277,798,2004,1131,19.0,Monday,0.04951370468611848,44.225223897140424,0,0.1360765939186008,430,1,1
1503960366,2016-05-03,15103,50,24,254,816,1990,1144,19.0,Tuesday,0.06468531468531469,46.045730303483836,0,0.13176190152170966,452,1,1
1503960366,2016-05-04,11100,36,22,203,1179,1819,1440,24.0,Wednesday,0.04027777777777778,42.5287340027305,0,0.16387387372623977,355,1,2
1503960366,2016-05-05,14070,45,24,250,857,1959,1176,20.0,Thursday,0.058673469387755105,44.10658168944885,0,0.13923240928270617,433,1,1
1503960366,2016-05-06,12159,24,6,289,754,1896,1073,18.0,Friday,0.027958993476234855,38.11598626595654,0,0.1559338760128844,373,1,1
1503960366,2016-05-07,11992,37,46,175,833,1821,1091,18.0,Saturday,0.076076993583868,46.48061835346441,1,0.15185123402947695,378,1,1
1503960366,2016-05-08,10060,44,8,203,574,1740,829,14.0,Sunday,0.06272617611580217,39.45097884505965,1,0.1729622264682284,351,1,2
